"Volcano.Number","Volcano.Name","Country","Region","Subregion","Primary.Volcano.Type","Major.Rock.1","Major.Rock.2","Population.within.30.km","Elevation","avg.VEI","Latitude","Longitude","eruption_count"
211010,"Campi Flegrei","Italy","Mediterranean and W Asia","Italy","Caldera","Trachyte / Trachyandesite","Phonolite",3006865,458,3,40.827,14.139,1
211020,"Vesuvius","Italy","Mediterranean and W Asia","Italy","Stratovolcano","Phono-tephrite /  Tephri-phonolite","Phonolite",3907941,1281,3.18181818181818,40.821,14.426,22
211040,"Stromboli","Italy","Mediterranean and W Asia","Italy","Stratovolcano","Trachyandesite / Basaltic trachy-andesite","Andesite / Basaltic Andesite",3894,924,2,38.789,15.213,2
211050,"Vulcano","Italy","Mediterranean and W Asia","Italy","Stratovolcano(es)","Trachybasalt / Tephrite Basanite","Trachyandesite / Basaltic trachy-andesite",86766,500,3,38.404,14.962,1
211060,"Etna","Italy","Mediterranean and W Asia","Italy","Stratovolcano(es)","Trachybasalt / Tephrite Basanite","Trachyandesite / Basaltic trachy-andesite",1016540,3330,NA,37.734,15.004,96
211070,"Campi Flegrei Mar Sicilia","Italy","Mediterranean and W Asia","Italy","Submarine","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",230578,-8,2.5,37.1,12.7,2
211071,"Pantelleria","Italy","Mediterranean and W Asia","Italy","Shield","Rhyolite","Trachyte / Trachyandesite",12403,836,1,36.77,12.02,1
212040,"Santorini","Greece","Mediterranean and W Asia","Greece","Shield(s)","Dacite","Andesite / Basaltic Andesite",12336,367,2.57142857142857,36.404,25.396,7
221020,"Zubair Group","Yemen","Africa and Red Sea","Africa (northeastern) and Red Sea","Shield","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",7,191,NA,15.05,42.18,1
221101,"Nabro","Eritrea","Africa and Red Sea","Africa (northeastern) and Red Sea","Stratovolcano","Trachyte / Trachyandesite","Rhyolite",2713,2218,4,13.37,41.7,1
221113,"Dabbahu","Ethiopia","Africa and Red Sea","Africa (northeastern) and Red Sea","Stratovolcano","Basalt / Picro-Basalt","Rhyolite",36494,1401,3,12.595,40.48,1
221115,"Manda Hararo","Ethiopia","Africa and Red Sea","Africa (northeastern) and Red Sea","Shield(s)","Basalt / Picro-Basalt",NA,7455,600,2,12.17,40.82,2
221126,"Ardouk?ba","Djibouti","Africa and Red Sea","Africa (northeastern) and Red Sea","Fissure vent(s)","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",6898,298,1,11.58,42.47,1
222120,"Lengai, Ol Doinyo","Tanzania","Africa and Red Sea","Africa (eastern)","Stratovolcano","Foidite","Phonolite",18074,2962,2.33333333333333,-2.764,35.914,3
222160,"Meru","Tanzania","Africa and Red Sea","Africa (eastern)","Stratovolcano","Phonolite","Foidite",828942,4565,2,-3.25,36.75,1
223020,"Nyamuragira","DR Congo","Africa and Red Sea","Africa (central)","Shield","Trachybasalt / Tephrite Basanite","Phono-tephrite /  Tephri-phonolite",711356,3058,2,-1.408,29.2,28
223030,"Nyiragongo","DR Congo","Africa and Red Sea","Africa (central)","Stratovolcano","Foidite",NA,1006436,3470,1.25,-1.52,29.25,4
223050,"Visoke","DR Congo-Rwanda","Africa and Red Sea","Africa (central)","Stratovolcano","Trachyandesite / Basaltic trachy-andesite",NA,1162209,3696,1,-1.458,29.485,1
224010,"Cameroon","Cameroon","Africa and Red Sea","Africa (western)","Stratovolcano","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",417460,4095,1.85714285714286,4.203,9.17,7
231070,"Rahat, Harrat","Saudi Arabia","Middle East and Indian Ocean","Middle East (southern)","Volcanic field","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",1010115,1744,3,23.08,39.78,1
233010,"Karthala","Comoros","Middle East and Indian Ocean","Indian Ocean (western)","Shield","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",278330,2361,1.81818181818182,-11.75,43.38,11
233020,"Fournaise, Piton de la","France","Middle East and Indian Ocean","Indian Ocean (western)","Shield","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",246792,2632,NA,-21.244,55.708,105
